Count,Hole Size,Plated,Hole Shape,Drill Layer Pair,Hole Type
21,0.70mm (27.56mils),NPTH,Round,"L1 (Sig, PWR) - L6 (Sig, PWR)",Mechanical
Total 21,,,,,
